Data,Total de solicitações de rastreamento,Tamanho total do download (bytes),Média do tempo de resposta (ms)
2026-05-30,288,2047442,1026
2026-05-31,27,151254,63
2026-06-01,0,0,0
2026-06-02,0,0,0
2026-06-03,1,0,50000
2026-06-04,0,0,0
2026-06-05,7,112120,65
2026-06-06,0,0,0
2026-06-07,0,0,0
2026-06-08,0,0,0
2026-06-09,1,4534,228
2026-06-10,0,0,0
2026-06-11,0,0,0
2026-06-12,459,1782196,97
2026-06-13,268,675912,95
2026-06-14,78,325602,103
2026-06-15,127,1032628,90
2026-06-16,149,1089417,73
2026-06-17,1,26215,221
2026-06-18,1,26215,86
2026-06-19,4,86681,192
2026-06-20,1,26215,177
2026-06-21,0,0,0
2026-06-22,1,4625,177
2026-06-23,0,0,0
2026-06-24,0,0,0
2026-06-25,0,0,0
2026-06-26,0,0,0
2026-06-27,2,52430,178
2026-06-28,35,464433,84
2026-06-29,0,0,0
2026-06-30,0,0,0
2026-07-01,28,382270,83
2026-07-02,5,67406,165
2026-07-03,2,26068,141
2026-07-04,0,0,0
2026-07-05,0,0,0
