Data,Total de solicitações de rastreamento,Tamanho total do download (bytes),Média do tempo de resposta (ms)
2026-06-03,0,0,0
2026-06-04,0,0,0
2026-06-05,0,0,0
2026-06-06,0,0,0
2026-06-07,0,0,0
2026-06-08,0,0,0
2026-06-09,0,0,0
2026-06-10,0,0,0
2026-06-11,1448,5163399,89
2026-06-12,1,2996,218
2026-06-13,0,0,0
2026-06-14,0,0,0
2026-06-15,0,0,0
2026-06-16,0,0,0
2026-06-17,599,2167175,60
2026-06-18,0,0,0
2026-06-19,0,0,0
2026-06-20,0,0,0
2026-06-21,0,0,0
2026-06-22,0,0,0
2026-06-23,0,0,0
2026-06-24,0,0,0
2026-06-25,0,0,0
2026-06-26,0,0,0
2026-06-27,0,0,0
2026-06-28,22,367088,101
2026-06-29,0,0,0
2026-06-30,0,0,0
2026-07-01,0,0,0
2026-07-02,13,202483,90
2026-07-03,10,158615,99
2026-07-04,0,0,0
2026-07-05,4,46869,105
