Data,Total de solicitações de rastreamento,Tamanho total do download (bytes),Média do tempo de resposta (ms)
2026-04-10,2,0,0
2026-04-11,0,0,0
2026-04-12,0,0,0
2026-04-13,2,0,294
2026-04-14,0,0,0
2026-04-15,0,0,0
2026-04-16,0,0,0
2026-04-17,0,0,0
2026-04-18,3,4338,326
2026-04-19,0,0,0
2026-04-20,2,2182,475
2026-04-21,2,0,0
2026-04-22,0,0,0
2026-04-23,0,0,0
2026-04-24,0,0,0
2026-04-25,0,0,0
2026-04-26,1,0,0
2026-04-27,0,0,0
2026-04-28,0,0,0
2026-04-29,0,0,0
2026-04-30,2,0,226
2026-05-01,0,0,0
2026-05-02,0,0,0
2026-05-03,0,0,0
2026-05-04,2,0,0
2026-05-05,2,0,0
2026-05-06,0,0,0
2026-05-07,0,0,0
2026-05-08,2,2173,448
2026-05-09,0,0,0
2026-05-10,0,0,0
2026-05-11,0,0,0
2026-05-12,2,2170,313
2026-05-13,3,3501,456
2026-05-14,0,0,0
2026-05-15,0,0,0
2026-05-16,0,0,0
2026-05-17,2,0,54
2026-05-18,0,0,0
2026-05-19,0,0,0
2026-05-20,2,4342,344
2026-05-21,0,0,0
2026-05-22,1,2164,588
2026-05-23,0,0,0
2026-05-24,0,0,0
2026-05-25,4,0,80
2026-05-26,0,0,0
2026-05-27,1,0,0
2026-05-28,0,0,0
2026-05-29,1,0,0
2026-05-30,0,0,0
2026-05-31,0,0,0
2026-06-01,0,0,0
2026-06-02,10,0,2027
2026-06-03,0,0,0
2026-06-04,0,0,0
2026-06-05,0,0,0
2026-06-06,0,0,0
2026-06-07,0,0,0
2026-06-08,2,0,0
2026-06-09,2,0,0
2026-06-10,0,0,0
2026-06-11,3,0,0
2026-06-12,3,0,0
2026-06-13,2,0,0
2026-06-14,4,0,0
2026-06-15,3,0,0
2026-06-16,3,0,0
2026-06-17,3,0,0
2026-06-18,2,0,0
2026-06-19,3,0,0
2026-06-20,1,0,0
2026-06-21,3,0,0
2026-06-22,5,0,0
2026-06-23,2,0,0
2026-06-24,3,0,0
2026-06-25,2,0,0
2026-06-26,2,0,0
2026-06-27,3,0,0
2026-06-28,25,482275,99
2026-06-29,23,217815,110
2026-06-30,43,327792,108
2026-07-01,22,169327,116
2026-07-02,12,56473,116
2026-07-03,3,212916,195
2026-07-04,0,0,0
2026-07-05,9,45129,125
