Host,Crawl requests,Status
goiania.roilabs.com.br,1246,No problems
sirius.roilabs.com.br,1114,No problems
atma.roilabs.com.br,836,No problems
sofiaia.roilabs.com.br,766,No problems
www.sirius.roilabs.com.br,622,Problems last week
alibi.roilabs.com.br,391,No problems
roilabs.com.br,347,No problems
tapepro.roilabs.com.br,211,No problems
atmaadmin.roilabs.com.br,187,No problems
pathfinder.roilabs.com.br,124,Problems in the past
verticemarketing.roilabs.com.br,121,No problems
vertex-landing-craft.roilabs.com.br,90,No problems
www.roilabs.com.br,82,Problems in the past
jbadvocacia.roilabs.com.br,73,Problems in the past
vertice.roilabs.com.br,61,No problems
orion.roilabs.com.br,60,No problems
orcaobra.roilabs.com.br,54,No problems
app.roilabs.com.br,49,No problems
clerk.atma.roilabs.com.br,41,No problems
cardiorisk.roilabs.com.br,34,No problems
