Data,Total de solicitações de rastreamento,Tamanho total do download (bytes),Média do tempo de resposta (ms)
2026-05-30,2,0,25009
2026-05-31,8,0,6282
2026-06-01,9,0,27793
2026-06-02,0,0,0
2026-06-03,4,0,0
2026-06-04,8,0,18771
2026-06-05,0,0,0
2026-06-06,8,0,12555
2026-06-07,4,0,0
2026-06-08,8,0,42
2026-06-09,8,0,36
2026-06-10,0,0,0
2026-06-11,8,0,126
2026-06-12,0,0,0
2026-06-13,20,321304,133
2026-06-14,0,0,0
2026-06-15,12,186131,99
2026-06-16,6,110009,124
2026-06-17,1,3076,133
2026-06-18,1,532,138
2026-06-19,2,5798,89
2026-06-20,1,3076,134
2026-06-21,0,0,0
2026-06-22,0,0,0
2026-06-23,32,1222081,108
2026-06-24,2,8730,93
2026-06-25,0,0,0
2026-06-26,2,71014,279
2026-06-27,1,70482,345
2026-06-28,1,532,136
2026-06-29,0,0,0
2026-06-30,35,524915,81
2026-07-01,2,6358,136
2026-07-02,2,11267,49
2026-07-03,4,60514,90
2026-07-04,0,0,0
2026-07-05,13,194756,112
