Data,Total de solicitações de rastreamento,Tamanho total do download (bytes),Média do tempo de resposta (ms)
2026-05-03,1305,8880850,49
2026-05-04,7,56447,115
2026-05-05,14,349101,76
2026-05-06,15,132199,76
2026-05-07,96,687037,65
2026-05-08,249,946069,57
2026-05-09,99,550355,65
2026-05-10,11,345188,90
2026-05-11,28,378029,81
2026-05-12,37,630603,71
2026-05-13,71,371827,78
2026-05-14,16,381375,75
2026-05-15,28,436076,71
2026-05-16,10,303570,86
2026-05-17,47,739520,82
2026-05-18,39,710599,121
2026-05-19,4,85084,105
2026-05-20,16,166124,3198
2026-05-21,22,252450,6898
2026-05-22,11,307640,9155
2026-05-23,9,58815,11159
2026-05-24,35,426272,4352
2026-05-25,14,149963,17912
2026-05-26,30,576265,8408
2026-05-27,10,165197,10072
2026-05-28,15,321758,6723
2026-05-29,21,203421,2453
2026-05-30,23,521332,2267
2026-05-31,39,546601,6505
2026-06-01,25,502472,8074
2026-06-02,22,339981,4646
2026-06-03,21,224878,7234
2026-06-04,19,129282,10633
2026-06-05,12,196636,4260
2026-06-06,12,71372,4373
2026-06-07,32,567139,90
2026-06-08,16,488705,3255
2026-06-09,5,93376,90
2026-06-10,4,240830,87
2026-06-11,33,467690,158
2026-06-12,10,286820,241
2026-06-13,34,602299,167
2026-06-14,31,592923,178
2026-06-15,46,830205,178
2026-06-16,33,535567,115
2026-06-17,21,604309,142
2026-06-18,0,0,0
2026-06-19,17,290575,135
2026-06-20,18,354225,131
2026-06-21,8,169542,138
2026-06-22,0,0,0
2026-06-23,18,413247,134
2026-06-24,16,354170,145
2026-06-25,16,147548,116
2026-06-26,9,125547,107
2026-06-27,14,304814,112
2026-06-28,2,21616,116
2026-06-29,9,236754,120
2026-06-30,16,282267,96
2026-07-01,15,266875,115
2026-07-02,35,511344,128
2026-07-03,7,114521,117
2026-07-04,2,24222,164
2026-07-05,6,13561,89
