Data,Total de solicitações de rastreamento,Tamanho total do download (bytes),Média do tempo de resposta (ms)
2026-05-18,923,9736711,209
2026-05-19,62,1803308,1706
2026-05-20,41,1145202,2522
2026-05-21,95,3311943,5908
2026-05-22,9,147445,5612
2026-05-23,31,869128,4923
2026-05-24,41,966879,2508
2026-05-25,24,652713,150
2026-05-26,105,2415385,1516
2026-05-27,46,1372604,6610
2026-05-28,18,102363,2814
2026-05-29,322,5517780,998
2026-05-30,277,3324240,1153
2026-05-31,270,7480297,1761
2026-06-01,45,1499768,2324
2026-06-02,130,3513433,447
2026-06-03,30,1009729,6805
2026-06-04,40,1812479,1340
2026-06-05,22,484477,2348
2026-06-06,17,331149,78
2026-06-07,52,1522459,87
2026-06-08,23,609791,4431
2026-06-09,1,4190,135
2026-06-10,12,565200,179
2026-06-11,31,660519,185
2026-06-12,45,1495310,220
2026-06-13,26,635297,187
2026-06-14,53,1700591,194
2026-06-15,38,2323283,220
2026-06-16,33,1020489,105
2026-06-17,32,1422875,223
2026-06-18,8,123406,92
2026-06-19,1,88317,347
2026-06-20,48,1323208,105
2026-06-21,0,0,0
2026-06-22,0,0,0
2026-06-23,4,10995,92
2026-06-24,42,1356758,134
2026-06-25,22,697068,138
2026-06-26,5,182648,170
2026-06-27,13,414187,109
2026-06-28,10,488977,147
2026-06-29,28,952517,130
2026-06-30,4,79229,121
2026-07-01,53,2006344,133
2026-07-02,23,907038,145
2026-07-03,8,225559,151
2026-07-04,28,917206,134
2026-07-05,2,175036,247
